Rank , Code , Company, Price , 1 Day , 1 Month , 1 Year , Sector , Mkt Cap
2012, INF, Infinity Metals Ltd, $0.017, +6.25%, -5.56%, -37.04%, Materials, $8.15M
395, ING, Inghams Group Ltd, $2.45, -1.61%, +1.24%, -20.46%, Consumer Staples, $910.62M
1150, INIF, Intelligent Investor Aus EQ Inc Fund - Active ETF, $3.03, 0.00%, +3.41%, +10.58%, Financials, $75.32M
549, INR, Ioneer Ltd, $0.185, -2.63%, +12.12%, +19.36%, Materials, $494.81M
1743, INV, Investsmart Group Ltd, $0.12, 0.00%, 0.00%, -7.69%, Financials, $17.07M
1116, IOD, Iodm Ltd, $0.135, 0.00%, -3.57%, -15.63%, Information Technology, $83.24M
1288, ION, Iondrive Ltd, $0.041, 0.00%, -6.82%, +57.69%, Materials, $52M
120, IOO, iShares Global 100 ETF, $187.62, +0.17%, +0.42%, +14.63%, Financials, $5.36B
1722, IOV, Ion Video Ltd, $0.002, 0.00%, -20.00%, 0.00%, Information Technology, $18.15M
83, IOZ, iShares Core S&P/ASX 200 ETF, $35.24, -0.45%, +4.08%, +6.18%, Financials, $7.78B
2072, IPB, IPB Petroleum Ltd, $0.008, 0.00%, 0.00%, +33.33%, Energy, $6.82M
1912, IPC, Imperial Pacific Ltd, $2.00, 0.00%, +14.29%, +24.22%, Financials, $10.87M
1168, IPD, Impedimed Ltd, $0.035, 0.00%, -2.78%, -33.96%, Health Care, $71.31M
583, IPG, Ipd Group Ltd, $4.21, -2.09%, +25.30%, +8.51%, Industrials, $437.21M
393, IPH, IPH Ltd, $3.49, +1.16%, +0.58%, -29.50%, Industrials, $912.57M
1580, IPT, Impact Minerals Ltd, $0.053, +3.92%, -3.64%, -46.55%, Materials, $25.14M
246, IPX, Iperionx Ltd, $5.56, +7.54%, +25.23%, +9.45%, Materials, $1.87B
1329, IR1, Iris Metals Ltd, $0.19, -5.00%, -22.45%, -17.39%, Materials, $46.08M
1682, IRD, Iron Road Ltd, $0.024, 0.00%, -44.19%, -59.32%, Materials, $19.97M
281, IRE, Iress Ltd, $8.47, -0.47%, -5.47%, -9.02%, Information Technology, $1.58B
1232, IRI, Integrated Research Ltd, $0.335, -1.47%, +15.52%, -25.56%, Information Technology, $60.5M
2144, IRX, Inhalerx Ltd, $0.023, 0.00%, -35.65%, -27.60%, Health Care, $5.51M
1479, IS3, I Synergy Group Ltd, $0.019, 0.00%, +11.77%, +786.61%, Information Technology, $32.98M
552, ISEC, iShares Enhanced Cash ETF, $100.75, +0.02%, +0.06%, -0.01%, Financials, $489.04M
1323, ISLM, HEJAZ Equities Fund Active ETF, $1.14, -0.44%, -0.44%, +2.70%, Financials, $46.64M
829, ISO, iShares S&P/ASX Small Ordinaries ETF, $5.78, -0.86%, +8.04%, +22.20%, Financials, $194.54M
2021, ITEK, iShares Nasdaq Top 30 ETF, $33.40, -0.12%, +2.02%, +15.05%, Financials, $8.02M
1898, ITM, Itech Minerals Ltd, $0.047, 0.00%, -6.00%, -7.84%, Materials, $11.23M
1045, ITS, Infotrust Ltd, $0.54, 0.00%, 0.00%, -11.48%, Communication Services, $102.7M
1810, IUSG, iShares U.S. Treasury Bond (Aud Hedged) ETF, $101.53, +0.15%, +0.10%, +1.71%, Financials, $13.73M
480, IVE, iShares MSCI Eafe ETF, $144.48, -0.35%, +2.66%, +18.36%, Financials, $654.78M
1922, IVG, Invert Graphite Ltd, $0.031, 0.00%, +6.90%, -3.13%, Materials, $10.62M
792, IVR, Investigator Silver Ltd, $0.11, +4.76%, +139.13%, +478.95%, Materials, $217.85M
48, IVV, iShares S&P 500 ETF, $68.62, -0.20%, +1.15%, +7.25%, Financials, $12.93B
2037, IVX, Invion Ltd, $0.09, -1.10%, +15.39%, -68.42%, Health Care, $7.71M
793, IVZ, Invictus Energy Ltd, $0.135, +3.85%, -15.63%, +101.49%, Energy, $216.47M
294, IWLD, iShares Core MSCI World Ex Australia Esg ETF, $68.61, -0.06%, +2.19%, +10.13%, Financials, $1.5B
1969, IXC, INVEX Therapeutics Ltd, $0.125, +8.70%, +4.17%, +89.39%, Health Care, $9.39M
952, IXI, iShares Global Consumer Staples ETF, $96.31, -0.74%, -2.88%, -1.42%, Financials, $132.41M
303, IXJ, iShares Global Healthcare ETF, $144.80, -0.48%, -1.04%, +3.99%, Financials, $1.44B
1111, IXR, Ionic Rare EARTHS Ltd, $0.375, +7.14%, -10.71%, +108.33%, Materials, $84.37M
1106, IYLD, iShares Yield Plus ETF, $99.76, -0.71%, -0.31%, -0.14%, Financials, $85.54M
557, IZZ, iShares China Large-Cap ETF, $57.28, -0.75%, -3.03%, +13.47%, Financials, $479.03M
2306, J100, Global X Japan TOPIX 100 ETF, $50.05, +0.34%, -0.04%, -0.04%, N/A, $1M
1267, JAL, Jameson Resources Ltd, $0.074, 0.00%, +1.37%, +64.44%, Materials, $54.72M
1154, JAN, Janison Education Group Ltd, $0.285, +1.79%, +29.55%, +50.00%, Information Technology, $74.07M
1926, JAT, Jatcorp Ltd, $0.125, 0.00%, -25.87%, -73.19%, Consumer Discretionary, $10.53M
1702, JAV, Javelin Minerals Ltd, $0.073, +2.82%, -1.35%, -32.72%, Materials, $18.98M
1974, JAY, Jayride Group Ltd, $0.006, 0.00%, 0.00%, +154.55%, Industrials, $9.33M
62, JBH, JB Hi-Fi Ltd, $96.59, -0.03%, +1.43%, +0.62%, Consumer Discretionary, $10.56B
1835, JCS, Jcurve Solutions Ltd, $0.037, 0.00%, -27.45%, +42.31%, Information Technology, $13.04M
240, JDO, Judo Capital Holdings Ltd, $1.735, -0.57%, +20.07%, -5.71%, Financials, $1.95B
1112, JDOPA, Judo Capital Holdings Ltd, $112.20, -0.05%, +1.34%, -0.28%, N/A, $84.15M
1726, JEGA, JPM Global Equity Premium Income Complex ETF, $49.65, -1.08%, -1.23%, -3.74%, Financials, $17.91M
2039, JEME, Jpmorgan Em Research Enhanced IDX EQTY Active ETF, $69.90, 0.00%, +0.29%, -2.27%, Financials, $7.69M
874, JEPI, Jpmorgan Equity Premium Income Active ETF, $52.00, -0.35%, -1.48%, -8.77%, Financials, $169.16M
1219, JGH, Jade Gas Holdings Ltd, $0.034, 0.00%, -2.86%, 0.00%, Energy, $62.53M
2168, JGLO, Jpmorgan Global Select Equity Active ETF, $59.45, -0.69%, -1.26%, +4.74%, Financials, $5.06M
2171, JHGA, JPM GBL Equity Premium Income Hedged Complex ETF, $50.16, 0.00%, +2.87%, -0.54%, Financials, $5.02M
2231, JHLO, Jpmorgan Global Select Equity (Hedged) Active ETF, $58.22, 0.00%, +1.31%, +7.78%, Financials, $3.78M
2011, JHPI, Jpmorgan Equity Premium Income (Hedged) Active ETF, $51.27, 0.00%, +2.48%, -3.08%, Financials, $8.22M
46, JHX, James Hardie Industries Plc, $30.55, -1.42%, +10.69%, -39.84%, Materials, $13.15B
456, JIN, Jumbo Interactive Ltd, $11.27, +0.18%, +9.52%, -19.44%, Consumer Discretionary, $714.15M
1265, JLL, Jindalee Lithium Ltd, $0.535, +2.89%, -2.73%, +154.76%, Materials, $54.8M
530, JMS, Jupiter Mines Ltd, $0.27, -1.82%, +3.85%, +92.86%, Materials, $530.5M
1921, JNDQ, Betashares Nasdaq Next Gen 100 ETF, $19.31, -1.68%, +4.10%, +8.79%, Financials, $10.65M
2077, JNO, Juno Minerals Ltd, $0.032, -8.57%, +10.35%, +28.00%, Materials, $6.7M
2160, JNS, Janus Electric Holdings Ltd, $0.055, -5.17%, -44.44%, +5400.00%, Utilities, $5.22M
1081, JPEQ, Jpmorgan US 100Q Equity Premium Income Active ETF, $62.50, -0.37%, +1.45%, -5.22%, Financials, $90.6M
1872, JPHQ, Jpmorgan US 100Q EQ Prem Inc (Hedged) Active ETF, $61.23, +0.58%, +5.82%, +1.63%, Financials, $11.98M
1487, JPR, Jupiter Energy Ltd, $0.025, 0.00%, -16.67%, -16.67%, Energy, $32.02M
1259, JREG, Jpmorgan Global Research En INDEX EQTY Active ETF, $84.67, -0.11%, +1.61%, +3.26%, Financials, $55.92M
1390, JRHG, Jpmorgan Global Research En in EQTY (H) Active ETF, $73.25, +0.16%, +5.55%, +14.61%, Financials, $39.92M
902, JYC, Joyce Corporation Ltd, $5.30, -2.21%, +6.00%, +7.07%, Consumer Discretionary, $156.72M
2313, JZRO, Janus Henderson Net ZERO Transition Active ETF, $33.63, 0.00%, +2.84%, +23.46%, Financials, $533.14K
995, KAI, Kairos Minerals Ltd, $0.035, 0.00%, +12.90%, +169.23%, Materials, $117.86M
1643, KAL, Kalgoorlie Gold Mining Ltd, $0.047, +2.17%, -16.07%, +147.37%, Materials, $21.42M
1723, KAM, K2 Asset Management Holdings Ltd, $0.075, +4.17%, +2.74%, 0.00%, Financials, $18.08M
349, KAR, Karoon Energy Ltd, $1.55, -0.64%, +2.31%, +20.16%, Energy, $1.13B
1364, KAT, Katana Capital Ltd, $1.33, 0.00%, -2.21%, +6.40%, Financials, $42.32M
866, KAU, Kaiser Reef Ltd, $0.295, 0.00%, +15.69%, +78.79%, Materials, $175.2M
1963, KBC, Keybridge Capital Ltd, $0.047, 0.00%, 0.00%, 0.00%, Financials, $9.74M
1649, KCC, Kincora Copper Ltd, $1.00, 0.00%, -9.09%, +270.37%, Materials, $21.13M
296, KCN, Kingsgate Consolidated Ltd, $5.62, +1.63%, +43.00%, +339.06%, Materials, $1.49B
2288, KEY, KEY Petroleum Ltd, $0.058, 0.00%, -17.14%, -13.43%, Energy, $1.96M
1977, KFM, Kingfisher Mining Ltd, $0.089, 0.00%, +11.25%, +162.75%, Materials, $9.26M
1262, KGD, Kula Gold Ltd, $0.048, +4.35%, +17.07%, +747.10%, Materials, $55.28M
899, KGL, KGL Resources Ltd, $0.205, +6.49%, +46.43%, +129.06%, Materials, $158.03M
660, KGN, Kogan.com Ltd, $3.49, -0.29%, +15.95%, -44.07%, Consumer Discretionary, $348.79M
441, KKC, KKR Credit Income Fund, $2.30, +0.88%, +0.88%, -4.17%, Financials, $741.83M
1048, KKO, Kinetiko Energy Ltd, $0.066, 0.00%, +10.00%, -2.94%, Energy, $101.39M
2133, KLI, Killi Resources Ltd, $0.041, 0.00%, -8.89%, -14.58%, Materials, $5.75M
1615, KLR, Kaili Resources Ltd, $0.155, 0.00%, -13.89%, +1837.50%, Energy, $22.85M
340, KLS, Kelsian Group Ltd, $4.34, +0.70%, -2.47%, +16.04%, Industrials, $1.18B
1980, KLV, Klevo Rewards Ltd, $0.006, +20.00%, -33.33%, -33.33%, Industrials, $9.22M
1758, KM1, Kali Metals Ltd, $0.18, +2.86%, -5.26%, +71.43%, Materials, $16.47M
870, KMD, KMD Brands Ltd, $0.24, 0.00%, 0.00%, -38.07%, Consumer Discretionary, $170.8M
1470, KME, Kip Mcgrath Education Centres Ltd, $0.60, 0.00%, +11.11%, +27.66%, Consumer Discretionary, $33.45M
1357, KNB, Koonenberry Gold Ltd, $0.042, -4.55%, +5.00%, +223.08%, Materials, $43.15M
1997, KNG, Kingsland Minerals Ltd, $0.096, 0.00%, -20.00%, -33.79%, Materials, $8.7M
2033, KNI, Kuniko Ltd, $0.06, -3.23%, -9.09%, -65.26%, Materials, $7.75M
2063, KNM, Kneomedia Ltd, $0.002, 0.00%, 0.00%, 0.00%, Communication Services, $7.1M
2162, KNO, Knosys Ltd, $0.024, 0.00%, 0.00%, -48.94%, Information Technology, $5.19M
1950, KOB, Koba Resources Ltd, $0.035, 0.00%, -50.70%, -53.35%, Materials, $10M
2265, KOR, Korab Resources Ltd, $0.008, 0.00%, 0.00%, 0.00%, Materials, $2.94M
882, KOV, Korvest Ltd, $13.94, -0.36%, +5.77%, +36.80%, Industrials, $164.95M
1449, KP2, Kore Potash Plc, $0.059, +1.72%, -9.23%, +31.11%, Materials, $34.76M
635, KPG, Kelly Partners Group Holdings Ltd, $8.10, -3.11%, -6.03%, -18.18%, Industrials, $366.73M
1376, KPO, Kalina Power Ltd, $0.014, -6.67%, -26.32%, +55.56%, Utilities, $41.06M
1536, KRM, Kingsrose Mining Ltd, $0.037, +8.82%, -11.91%, +12.12%, Materials, $27.88M
1761, KRR, King River Resources Ltd, $0.011, -8.33%, -8.33%, -15.39%, Materials, $16.1M
567, KSC, K & S Corporation Ltd, $3.38, 0.00%, +0.90%, -5.59%, Industrials, $462.54M
648, KSL, Kina Securities Ltd, $1.225, -0.41%, -1.21%, +7.93%, Financials, $358.88M
1886, KSM, K2 Australian Small Cap Hedge Fund - Complex ETF, $2.55, 0.00%, +2.82%, +12.83%, Financials, $11.59M
1018, KSN, Kingston Resources Ltd, $0.133, -1.85%, +15.22%, +81.51%, Materials, $111.33M
1879, KTA, Krakatoa Resources Ltd, $0.011, +4.76%, 0.00%, +15.79%, Materials, $11.81M
955, KYP, Kinatico Ltd, $0.30, -4.76%, +7.14%, +106.90%, Information Technology, $131.28M
1319, KZR, Kalamazoo Resources Ltd, $0.195, 0.00%, +5.41%, +137.81%, Materials, $47.14M
185, L1G, L1 Group Ltd, $1.11, +3.26%, +5.71%, +66.92%, Financials, $2.85B
1650, L1HI, L1 Capital International (Hedged) Active ETF, $6.01, 0.00%, +6.56%, +12.13%, Financials, $21.1M
550, L1IF, L1 Capital International (Unhedged) Active ETF, $6.91, -0.29%, +3.13%, +5.18%, Financials, $492.36M
2135, L1M, Lightning Minerals Ltd, $0.023, -9.80%, -41.03%, -68.92%, Materials, $5.7M
1833, LAM, Laramide Resources Ltd, $0.63, 0.00%, -4.55%, -18.18%, Energy, $13.07M
1883, LAT, Latitude 66 Ltd, $0.08, 0.00%, +60.00%, +66.67%, Materials, $11.67M
758, LAU, Lindsay Australia Ltd, $0.68, -3.55%, +11.48%, -23.60%, Industrials, $247.91M
1156, LBL, Laserbond Ltd, $0.625, -3.85%, +15.74%, +13.64%, Industrials, $73.88M
1557, LCE, London City Equities Ltd, $0.85, 0.00%, 0.00%, +2.41%, Financials, $26.98M
2057, LCL, LCL Resources Ltd, $0.006, 0.00%, 0.00%, -33.33%, Materials, $7.2M
1139, LCY, Legacy Iron Ore Ltd, $0.008, 0.00%, 0.00%, -11.11%, Materials, $78.1M
1419, LDR, Lode Resources Ltd, $0.22, +15.79%, +22.22%, +144.44%, Materials, $36.91M
791, LDX, Lumos Diagnostics Holdings Ltd, $0.28, +1.82%, +27.27%, +677.78%, Health Care, $220.42M
1604, LEG, Legend Mining Ltd, $0.008, -11.11%, -11.11%, -20.00%, Materials, $23.32M
1373, LEL, Lithium Energy Ltd, $0.37, 0.00%, 0.00%, 0.00%, Materials, $41.44M
768, LEND, Vaneck GLBL Listed Private Credit (Aud Hedged) ETF, $16.55, -0.66%, +1.16%, -15.09%, Financials, $239.14M
1004, LEVR, First Sentier Geared Australian Share Complex ETF, $1.51, 0.00%, +9.42%, -1.31%, Financials, $114.6M
1189, LEX, Lefroy Exploration Ltd, $0.27, -3.57%, +45.95%, +285.71%, Materials, $67.07M
728, LF1, La Trobe Private Credit Fund, $2.00, 0.00%, +1.52%, 0.00%, Financials, $280.67M
323, LFG, Liberty Financial Group, $4.22, 0.00%, +5.24%, +31.88%, Financials, $1.28B
355, LFS, Latitude Group Holdings Ltd, $1.06, 0.00%, -6.61%, -7.83%, Financials, $1.1B
932, LFSPA, Latitude Group Holdings Ltd, $101.54, +0.53%, +1.69%, +5.33%, N/A, $141.08M
593, LGI, LGI Ltd, $4.04, +1.00%, -2.65%, +37.18%, Utilities, $417.9M
1465, LGM, Legacy Minerals Holdings Ltd, $0.20, 0.00%, -13.04%, +37.93%, Materials, $33.65M
1375, LGP, Little Green Pharma Ltd, $0.135, +3.85%, +3.85%, +12.50%, Health Care, $41.26M
705, LHGG, Lakehouse Global Growth Fund Active ETF, $2.13, 0.00%, 0.00%, -9.36%, Financials, $309.31M
1589, LIB, Liberty Metals Ltd, $0.003, 0.00%, 0.00%, +200.00%, Materials, $24.6M
482, LIC, Lifestyle Communities Ltd, $5.36, +0.56%, -1.11%, -38.04%, Real Estate, $652.53M
503, LIN, Lindian Resources Ltd, $0.365, 0.00%, +12.31%, +356.25%, Materials, $610.81M
2123, LIO, Lion Energy Ltd, $0.013, 0.00%, +18.18%, -31.58%, Energy, $5.88M
1061, LIS, Li-S Energy Ltd, $0.15, -3.23%, -3.23%, +20.00%, Industrials, $96.03M
1662, LIT, Livium Ltd, $0.01, 0.00%, -9.09%, -42.86%, Industrials, $20.64M
732, LKE, Lake Resources N.L., $0.12, +9.09%, +96.72%, +200.00%, Materials, $276.51M
1057, LKO, Lakes Blue Energy NL, $1.33, +1.14%, -4.32%, +70.51%, Energy, $96.95M
1167, LKY, Locksley Resources Ltd, $0.20, +2.56%, -28.57%, +1076.47%, Materials, $71.4M
152, LLC, Lendlease Group, $5.29, +4.55%, +2.32%, -16.30%, Real Estate, $3.65B
1339, LLM, Loyal Metals Ltd, $0.30, 0.00%, -14.29%, +200.00%, Materials, $45.08M
1701, LM1, Leeuwin Metals Ltd, $0.15, 0.00%, +3.45%, +25.00%, Materials, $19.08M
1183, LM8, Lunnon Metals Ltd, $0.305, +1.67%, +7.02%, +45.24%, Materials, $68.12M
1200, LMG, Latrobe Magnesium Ltd, $0.021, 0.00%, -19.23%, +5.76%, Materials, $65.68M
1494, LML, Lincoln Minerals Ltd, $0.012, -7.69%, +50.00%, +109.84%, Materials, $31.09M
1640, LMS, Litchfield Minerals Ltd, $0.385, -1.28%, -17.20%, +285.00%, Materials, $21.77M
1171, LNAS, Global X Ultra Long Nasdaq 100 Complex ETF, $13.48, +0.75%, +13.09%, +20.79%, Financials, $71.17M
1858, LNQ, LINQ Minerals Ltd, $0.20, +2.56%, +8.11%, 0.00%, Materials, $12.37M
49, LNW, Light & Wonder Inc, $158.00, +0.34%, +13.47%, +15.08%, Consumer Discretionary, $12.68B
915, LNYN, Lanyon Investment Fund Active ETF, $1.90, -0.26%, +4.68%, +17.65%, Financials, $148.94M
546, LOT, Lotus Resources Ltd, $0.185, 0.00%, +19.36%, 0.00%, Energy, $502.71M
167, LOV, Lovisa Holdings Ltd, $29.83, -0.57%, -0.63%, -1.52%, Consumer Discretionary, $3.3B
1699, LPE, Locality Planning Energy Holdings Ltd, $0.105, 0.00%, 0.00%, -27.59%, Utilities, $19.18M
449, LPGD, Loftus Peak Global Disruption Active ETF, $5.45, -0.91%, +0.74%, +0.93%, Financials, $731.42M
1206, LPHD, Loftus Peak Global Disruption Hedged Active ETF, $9.21, +0.44%, +5.26%, +4.30%, Financials, $64.91M
1725, LPM, Lithium Plus Minerals Ltd, $0.135, 0.00%, +8.00%, +60.71%, Materials, $17.93M
2253, LRD, Lord Resources Ltd, $0.018, 0.00%, 0.00%, -22.33%, Materials, $3.19M
1201, LRK, Lark Distilling Co. Ltd, $0.615, -0.81%, -10.22%, -42.52%, Consumer Staples, $65.6M
1040, LRM, Lion Rock Minerals Ltd, $0.034, +13.33%, +21.43%, +338.28%, Materials, $104.17M
1078, LRT, Lowell Resources Fund, $2.22, -1.33%, +20.00%, +105.56%, Financials, $92.26M
513, LRV, Larvotto Resources Ltd, $1.115, +1.83%, +0.45%, +137.23%, Materials, $577.04M
1771, LSA, Lachlan Star Ltd, $0.053, +8.16%, -13.12%, -24.29%, Materials, $15.68M
198, LSF, L1 Long Short Fund Ltd, $4.00, +1.27%, +12.05%, +35.59%, Financials, $2.53B
1345, LSGE, Loomis Sayles Global Equity Fund - Active ETF, $2.42, 0.00%, +2.54%, -34.06%, Financials, $44.21M
1808, LSR, Lodestar Minerals Ltd, $0.012, 0.00%, -33.33%, -18.40%, Materials, $13.79M
929, LSX, Lion Selection Group Ltd, $0.99, -1.00%, +15.12%, +86.79%, Financials, $141.81M
996, LTP, LTR Pharma Ltd, $0.64, -3.03%, +42.22%, -22.42%, Health Care, $116.25M
129, LTR, Liontown Ltd, $1.67, +4.70%, +13.61%, +203.64%, Materials, $4.91B
1695, LU7, Lithium Universe Ltd, $0.012, 0.00%, +9.09%, +41.18%, Materials, $19.39M
2189, LVE, Love Group Global Ltd, $0.115, 0.00%, 0.00%, -11.54%, Communication Services, $4.66M
50, LYC, Lynas Rare EARTHS Ltd, $12.57, +0.08%, -14.49%, +94.88%, Materials, $12.65B
517, LYL, Lycopodium Ltd, $14.06, +0.64%, +9.67%, +38.52%, Industrials, $558.75M
2202, M24, Mamba Exploration Ltd, $0.015, 0.00%, -6.25%, +25.00%, Materials, $4.43M
2076, M2M, MT Malcolm Mines NL, $0.013, 0.00%, -23.53%, -39.95%, Materials, $6.71M
2199, M2R, Miramar Resources Ltd, $0.003, 0.00%, 0.00%, -25.00%, Materials, $4.53M
2137, M3M, M3 Mining Ltd, $0.027, 0.00%, -10.00%, -22.86%, Materials, $5.64M
1488, M4M, Macro Metals Ltd, $0.007, 0.00%, +16.67%, -53.33%, Materials, $31.98M
1212, M79, Mammoth Minerals Ltd, $0.115, -6.12%, -11.54%, +43.75%, Materials, $64.27M
970, M7T, MACH7 Technologies Ltd, $0.54, -3.57%, +47.95%, +50.00%, Health Care, $126.88M
514, MA1, MA Credit Income Trust, $2.01, 0.00%, 0.00%, +1.16%, N/A, $574.74M
286, MAD, Mader Group Ltd, $7.65, -1.04%, -3.65%, +25.41%, Industrials, $1.56B
664, MAET, Munro Global Growth Fund Complex ETF, $6.27, -0.32%, +2.12%, -9.00%, Financials, $342.16M
223, MAF, MA Financial Group Ltd, $10.96, +1.11%, +19.52%, +85.45%, Financials, $2.14B
1532, MAG, Magmatic Resources Ltd, $0.056, -3.45%, -5.09%, +75.00%, Materials, $28.12M
304, MAH, Macmahon Holdings Ltd, $0.665, -0.75%, +24.30%, +87.32%, Materials, $1.43B
1124, MAM, Microequities Asset Management Group Ltd, $0.61, 0.00%, +11.93%, +18.45%, Financials, $80.95M
1829, MAN, Mandrake Resources Ltd, $0.021, -4.55%, -4.55%, -4.55%, Materials, $13.17M
1354, MAP, Microba Life Sciences Ltd, $0.071, -1.39%, -1.39%, -61.62%, Health Care, $43.24M
261, MAQ, Macquarie Technology Group Ltd, $68.91, +1.62%, +12.82%, -19.87%, Information Technology, $1.78B
982, MAT, Matsa Resources Ltd, $0.13, 0.00%, +30.00%, +312.70%, Materials, $122.87M
616, MAU, Magnetic Resources NL, $1.305, +0.39%, +10.59%, +18.64%, Materials, $385.57M
1666, MAUCA, Magnetic Resources NL, $1.005, -4.29%, +0.50%, +0.50%, N/A, $20.52M
1458, MAY, Melbana Energy Ltd, $0.009, +12.50%, -10.00%, -65.39%, Energy, $34.04M
1352, MBH, Maggie Beer Holdings Ltd, $0.097, +8.99%, +3.60%, +84.60%, Consumer Staples, $43.45M
1749, MBK, Metal Bank Ltd, $0.02, +5.26%, +5.26%, +49.45%, Materials, $16.83M
478, MBLPC, Macquarie Bank Ltd, $102.98, -0.02%, -0.02%, +0.23%, N/A, $660.13M
470, MBLPD, Macquarie Bank Ltd, $103.75, +0.44%, +1.81%, -0.24%, N/A, $679.4M
668, MC2, Marimaca Copper Corp, $12.25, 0.00%, 0.00%, +104.17%, Materials, $337.34M
977, MCA, Murray Cod Australia Ltd, $1.01, +4.66%, -3.81%, -25.19%, Consumer Staples, $125.12M
914, MCCL, Munro Climate Change Leaders Fund Active ETF, $17.61, -0.40%, +0.98%, +1.62%, Financials, $149.16M
1258, MCE, Matrix Composites & Engineering Ltd, $0.25, +2.04%, +19.05%, +4.17%, Energy, $56.17M
1118, MCGG, Munro Concentrated Global Growth Active ETF, $15.26, -0.26%, +2.35%, -1.74%, Financials, $82.67M
941, MCM, MC Mining Ltd, $0.20, -2.44%, -20.00%, +60.00%, Energy, $138.31M
2052, MCO, Myeco Group Ltd, $0.012, 0.00%, -14.29%, -50.00%, Materials, $7.24M
1460, MCP, Mcpherson's Ltd, $0.235, -2.08%, +4.44%, -22.95%, Consumer Staples, $33.83M
82, MCY, Mercury NZ Ltd, $5.58, +1.46%, +1.09%, +3.33%, Utilities, $7.91B
1502, MDI, Middle Island Resources Ltd, $0.031, +3.33%, +3.33%, +138.46%, Materials, $30.79M
1036, MDX, Mindax Ltd, $0.045, +7.14%, +2.27%, +18.42%, Materials, $106.03M
1443, MEC, Morphic Ethical Equities Fund Ltd, $1.11, -1.33%, -5.93%, +6.22%, Financials, $35.22M
1705, MEG, Megado Minerals Ltd, $0.029, -9.38%, +3.57%, +93.33%, Materials, $18.72M
558, MEI, Meteoric Resources NL, $0.18, 0.00%, +12.50%, +109.30%, Materials, $475.83M
425, MEK, Meeka Metals Ltd, $0.275, -1.79%, +27.91%, +266.67%, Materials, $810.12M
2308, MEL, Metgasco Ltd, $0.026, 0.00%, -48.00%, -86.05%, Energy, $955.3K
1861, MEM, Memphasys Ltd, $0.005, 0.00%, +25.00%, -12.50%, Health Care, $12.34M
931, MEU, Marmota Ltd, $0.12, 0.00%, +64.38%, +215.79%, Energy, $141.64M
1452, MEX, Minerals Exploration Ltd, $0.18, -2.70%, -2.70%, +111.77%, Materials, $34.55M
105, MEZ, Meridian Energy Ltd, $4.82, -2.23%, -2.03%, -9.23%, Utilities, $6.3B
1434, MFD, Mayfield Childcare Ltd, $0.48, -2.04%, -1.03%, -2.04%, Consumer Discretionary, $36.2M
181, MFF, MFF Capital Investments Ltd, $5.01, +0.20%, +7.51%, +7.74%, Financials, $2.95B
267, MFG, Magellan Financial Group Ltd, $10.05, +1.31%, +8.65%, -9.79%, Financials, $1.7B
1646, MFOA, Milford Australian Absolute Growth Complex ETF, $11.49, 0.00%, +3.14%, +9.32%, Financials, $21.2M
1905, MGA, Metalsgrove Mining Ltd, $0.083, -6.74%, +27.69%, +59.62%, Materials, $10.94M
238, MGH, Maas Group Holdings Ltd, $5.40, +0.37%, +27.36%, +14.41%, Industrials, $1.96B
1825, MGL, Magontec Ltd, $0.235, 0.00%, +17.50%, +23.68%, Materials, $13.39M
100, MGOC, Magellan Global Fund -Open Class Units -Active ETF, $3.08, -0.32%, +0.33%, -10.20%, Financials, $6.47B
75, MGR, Mirvac Group, $2.09, 0.00%, -5.43%, +5.56%, Real Estate, $8.25B
1923, MGT, Magnetite Mines Ltd, $0.054, +3.85%, -5.26%, -56.01%, Materials, $10.56M
1801, MGU, Magnum Mining and Exploration Ltd, $0.005, 0.00%, -16.67%, -20.64%, Materials, $14.02M
540, MGX, MGX Resources Ltd, $0.435, -2.25%, +22.54%, +45.00%, Materials, $513.49M
1778, MHC, Manhattan Corporation Ltd, $0.027, 0.00%, +17.39%, +28.57%, Materials, $15.16M
1041, MHG, Magellan Global EQ Fund (Currencyhdg) - Active ETF, $4.11, 0.00%, +3.53%, +3.79%, Financials, $103.98M
947, MHJ, Michael Hill International Ltd, $0.35, +1.45%, +4.48%, -39.66%, Consumer Discretionary, $134.69M
1862, MHK, Metal Hawk Ltd, $0.10, -4.76%, -16.67%, -64.29%, Materials, $12.34M
2055, MHM, Mount Hope Mining Ltd, $0.175, +9.38%, +6.06%, -5.41%, Materials, $7.23M
1511, MHOT, Vaneck Morningstar Wide Moat (Aud Hedged) ETF, $142.92, +0.01%, +8.06%, +3.72%, Financials, $30.49M
396, MI6, Minerals 260 Ltd, $0.44, +1.15%, +44.26%, +252.00%, Materials, $910M
539, MICH, Magellan Infra Fund (Currency Hedged) - Active ETF, $3.18, 0.00%, +0.63%, +11.58%, Financials, $514.2M
1442, MIDS, Antipodes Global Smid Active ETF, $9.38, -0.43%, +7.82%, +7.08%, Financials, $35.38M
60, MIN, Mineral Resources Ltd, $55.98, -0.20%, +14.62%, +64.65%, Materials, $11.06B
2096, MIO, Macarthur Minerals Ltd, $0.02, +17.65%, -48.72%, -54.55%, Materials, $6.37M
465, MIR, Mirrabooka Investments Ltd, $3.11, +0.65%, -1.58%, -7.69%, Financials, $694.27M
